"num_step"	"brunneaA"	"brunneaB"	"deplanataA"	"deplanataB"	"kauaiensisA"	"kauaiensisB"	"mauiensisA"	"mauiensisB"	"molokaiensisA"	"molokaiensisB"	"nihoaA"	"nihoaB"	"nitidaA"	"nitidaC"	"nitidaB"	"parvulaA"	"parvulaB"	"pilimauiensisA"	"pilimauiensisB"	"unicaA"	"unicaB"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"
560	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
570	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
580	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
590	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
600	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
610	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
620	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
630	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
640	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
650	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
660	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
670	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
680	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
690	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
700	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
710	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
720	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
730	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
740	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
750	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
760	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
770	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
780	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
790	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
800	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
810	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
820	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
830	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
840	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
850	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
860	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
870	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
880	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
890	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
900	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
910	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
920	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	3	3	4	4	4	5	3	3	3	5	4	2	4	4	4	1	4	4
930	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
940	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
950	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
960	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	5	4	5	2	3	3	5	4	2	4	4	4	1	4	4
970	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	5	4	5	2	3	3	5	4	2	4	4	4	1	4	4
980	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	5	4	5	2	3	3	5	4	2	4	4	4	1	4	4
990	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	5	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1000	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	5	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1010	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	5	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1020	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1030	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	3	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1040	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
